lat;lon;validdate;t_apparent_mean_1h:C
-35.247591;149.101268;2023-12-02T06:00:00Z;24.3
-35.247591;149.101268;2023-12-02T09:00:00Z;18.5
-35.247591;149.101268;2023-12-02T12:00:00Z;14.1
-35.247591;149.101268;2023-12-02T15:00:00Z;12.2
-35.247591;149.101268;2023-12-02T18:00:00Z;10.9
-35.247591;149.101268;2023-12-02T21:00:00Z;14.3
-35.247591;149.101268;2023-12-03T00:00:00Z;25.6
-35.247591;149.101268;2023-12-03T03:00:00Z;27.9
-35.247591;149.101268;2023-12-03T06:00:00Z;23.6
-35.247591;149.101268;2023-12-03T09:00:00Z;16.5
-35.247591;149.101268;2023-12-03T12:00:00Z;12.4
-35.247591;149.101268;2023-12-03T15:00:00Z;11.4
-35.247591;149.101268;2023-12-03T18:00:00Z;11.4
-35.247591;149.101268;2023-12-03T21:00:00Z;16.4
-35.247591;149.101268;2023-12-04T00:00:00Z;25.6
-35.247591;149.101268;2023-12-04T03:00:00Z;30.2
-35.247591;149.101268;2023-12-04T06:00:00Z;26.8
-35.247591;149.101268;2023-12-04T09:00:00Z;20.3
-35.247591;149.101268;2023-12-04T12:00:00Z;16.6
-35.247591;149.101268;2023-12-04T15:00:00Z;14.1
-35.247591;149.101268;2023-12-04T18:00:00Z;15.1
-35.247591;149.101268;2023-12-04T21:00:00Z;19.7
-35.247591;149.101268;2023-12-05T00:00:00Z;31.0
-35.247591;149.101268;2023-12-05T03:00:00Z;36.4
-35.247591;149.101268;2023-12-05T06:00:00Z;33.3
-35.247591;149.101268;2023-12-05T09:00:00Z;23.9
-35.247591;149.101268;2023-12-05T12:00:00Z;18.7
-35.247591;149.101268;2023-12-05T15:00:00Z;17.6
-35.247591;149.101268;2023-12-05T18:00:00Z;16.5
-35.247591;149.101268;2023-12-05T21:00:00Z;21.3
-35.247591;149.101268;2023-12-06T00:00:00Z;32.8
-35.247591;149.101268;2023-12-06T03:00:00Z;35.6
-35.247591;149.101268;2023-12-06T06:00:00Z;31.6
-35.247591;149.101268;2023-12-06T09:00:00Z;21.7
-35.247591;149.101268;2023-12-06T12:00:00Z;17.0
-35.247591;149.101268;2023-12-06T15:00:00Z;15.2
-35.247591;149.101268;2023-12-06T18:00:00Z;14.9
-35.247591;149.101268;2023-12-06T21:00:00Z;19.3
-35.247591;149.101268;2023-12-07T00:00:00Z;30.6
-35.247591;149.101268;2023-12-07T03:00:00Z;31.8
-35.247591;149.101268;2023-12-07T06:00:00Z;26.8
-35.247591;149.101268;2023-12-07T09:00:00Z;22.2
-35.247591;149.101268;2023-12-07T12:00:00Z;19.1
-35.247591;149.101268;2023-12-07T15:00:00Z;19.2
-35.247591;149.101268;2023-12-07T18:00:00Z;17.5
-35.247591;149.101268;2023-12-07T21:00:00Z;23.5
-35.247591;149.101268;2023-12-08T00:00:00Z;33.3
-35.247591;149.101268;2023-12-08T03:00:00Z;34.9
-35.247591;149.101268;2023-12-08T06:00:00Z;33.1
-35.247591;149.101268;2023-12-08T09:00:00Z;26.7
-35.247591;149.101268;2023-12-08T12:00:00Z;22.0
-35.247591;149.101268;2023-12-08T15:00:00Z;20.9
-35.247591;149.101268;2023-12-08T18:00:00Z;21.1
-35.247591;149.101268;2023-12-08T21:00:00Z;26.6
-35.247591;149.101268;2023-12-09T00:00:00Z;35.9
-35.247591;149.101268;2023-12-09T03:00:00Z;39.8
-35.247591;149.101268;2023-12-09T06:00:00Z;36.0
-35.247591;149.101268;2023-12-09T09:00:00Z;29.3
-35.247591;149.101268;2023-12-09T12:00:00Z;19.3
-35.247591;149.101268;2023-12-09T15:00:00Z;17.0
-35.247591;149.101268;2023-12-09T18:00:00Z;16.0
-35.247591;149.101268;2023-12-09T21:00:00Z;18.7
-35.247591;149.101268;2023-12-10T00:00:00Z;26.4
-35.247591;149.151268;2023-11-30T00:00:00Z;21.4
-35.247591;149.151268;2023-11-30T03:00:00Z;20.9
-35.247591;149.151268;2023-11-30T06:00:00Z;22.6
-35.247591;149.151268;2023-11-30T09:00:00Z;18.7
-35.247591;149.151268;2023-11-30T12:00:00Z;15.8
-35.247591;149.151268;2023-11-30T15:00:00Z;15.7
-35.247591;149.151268;2023-11-30T18:00:00Z;15.5
-35.247591;149.151268;2023-11-30T21:00:00Z;18.8
-35.247591;149.151268;2023-12-01T00:00:00Z;26.3
-35.247591;149.151268;2023-12-01T03:00:00Z;28.3
-35.247591;149.151268;2023-12-01T06:00:00Z;26.2
-35.247591;149.151268;2023-12-01T09:00:00Z;18.8
-35.247591;149.151268;2023-12-01T12:00:00Z;15.3
-35.247591;149.151268;2023-12-01T15:00:00Z;14.9
-35.247591;149.151268;2023-12-01T18:00:00Z;14.5
-35.247591;149.151268;2023-12-01T21:00:00Z;18.4
-35.247591;149.151268;2023-12-02T00:00:00Z;26.7
-35.247591;149.151268;2023-12-02T03:00:00Z;29.2
-35.247591;149.151268;2023-12-02T06:00:00Z;24.7
-35.247591;149.151268;2023-12-02T09:00:00Z;18.7
-35.247591;149.151268;2023-12-02T12:00:00Z;14.7
-35.247591;149.151268;2023-12-02T15:00:00Z;12.2
-35.247591;149.151268;2023-12-02T18:00:00Z;11.1
-35.247591;149.151268;2023-12-02T21:00:00Z;14.6
-35.247591;149.151268;2023-12-03T00:00:00Z;25.7
-35.247591;149.151268;2023-12-03T03:00:00Z;28.1
-35.247591;149.151268;2023-12-03T06:00:00Z;23.8
-35.247591;149.151268;2023-12-03T09:00:00Z;16.6
-35.247591;149.151268;2023-12-03T12:00:00Z;12.5
-35.247591;149.151268;2023-12-03T15:00:00Z;11.8
-35.247591;149.151268;2023-12-03T18:00:00Z;11.8
-35.247591;149.151268;2023-12-03T21:00:00Z;16.8
-35.247591;149.151268;2023-12-04T00:00:00Z;25.9
-35.247591;149.151268;2023-12-04T03:00:00Z;30.6
-35.247591;149.151268;2023-12-04T06:00:00Z;27.0
-35.247591;149.151268;2023-12-04T09:00:00Z;20.6
-35.247591;149.151268;2023-12-04T12:00:00Z;16.6
-35.247591;149.151268;2023-12-04T15:00:00Z;14.0
-35.247591;149.151268;2023-12-04T18:00:00Z;14.5
-35.247591;149.151268;2023-12-04T21:00:00Z;20.1
-35.247591;149.151268;2023-12-05T00:00:00Z;31.4
-35.247591;149.151268;2023-12-05T03:00:00Z;36.7
-35.247591;149.151268;2023-12-05T06:00:00Z;33.5
-35.247591;149.151268;2023-12-05T09:00:00Z;24.4
-35.247591;149.151268;2023-12-05T12:00:00Z;19.8
-35.247591;149.151268;2023-12-05T15:00:00Z;19.0
-35.247591;149.151268;2023-12-05T18:00:00Z;16.9
-35.247591;149.151268;2023-12-05T21:00:00Z;21.6
-35.247591;149.151268;2023-12-06T00:00:00Z;33.3
-35.247591;149.151268;2023-12-06T03:00:00Z;35.9
-35.247591;149.151268;2023-12-06T06:00:00Z;31.9
-35.247591;149.151268;2023-12-06T09:00:00Z;22.0
-35.247591;149.151268;2023-12-06T12:00:00Z;16.7
-35.247591;149.151268;2023-12-06T15:00:00Z;14.8
-35.247591;149.151268;2023-12-06T18:00:00Z;14.7
-35.247591;149.151268;2023-12-06T21:00:00Z;19.6
-35.247591;149.151268;2023-12-07T00:00:00Z;31.1
-35.247591;149.151268;2023-12-07T03:00:00Z;32.1
-35.247591;149.151268;2023-12-07T06:00:00Z;27.1
-35.247591;149.151268;2023-12-07T09:00:00Z;22.5
-35.247591;149.151268;2023-12-07T12:00:00Z;19.5
-35.247591;149.151268;2023-12-07T15:00:00Z;19.5
-35.247591;149.151268;2023-12-07T18:00:00Z;17.7
-35.247591;149.151268;2023-12-07T21:00:00Z;24.0
-35.247591;149.151268;2023-12-08T00:00:00Z;33.6
-35.247591;149.151268;2023-12-08T03:00:00Z;35.4
-35.247591;149.151268;2023-12-08T06:00:00Z;33.2
-35.247591;149.151268;2023-12-08T09:00:00Z;27.0
-35.247591;149.151268;2023-12-08T12:00:00Z;22.6
-35.247591;149.151268;2023-12-08T15:00:00Z;21.5
-35.247591;149.151268;2023-12-08T18:00:00Z;21.7
-35.247591;149.151268;2023-12-08T21:00:00Z;27.3
-35.247591;149.151268;2023-12-09T00:00:00Z;36.1
-35.247591;149.151268;2023-12-09T03:00:00Z;40.0
-35.247591;149.151268;2023-12-09T06:00:00Z;36.3
-35.247591;149.151268;2023-12-09T09:00:00Z;29.6
-35.247591;149.151268;2023-12-09T12:00:00Z;19.2
-35.247591;149.151268;2023-12-09T15:00:00Z;17.1
-35.247591;149.151268;2023-12-09T18:00:00Z;16.2
-35.247591;149.151268;2023-12-09T21:00:00Z;18.8
-35.247591;149.151268;2023-12-10T00:00:00Z;26.4
-35.247591;149.201268;2023-11-30T00:00:00Z;21.1
-35.247591;149.201268;2023-11-30T03:00:00Z;20.2
-35.247591;149.201268;2023-11-30T06:00:00Z;22.1
-35.247591;149.201268;2023-11-30T09:00:00Z;17.6
-35.247591;149.201268;2023-11-30T12:00:00Z;15.0
-35.247591;149.201268;2023-11-30T15:00:00Z;15.1
-35.247591;149.201268;2023-11-30T18:00:00Z;14.8
-35.247591;149.201268;2023-11-30T21:00:00Z;17.8
-35.247591;149.201268;2023-12-01T00:00:00Z;25.7
-35.247591;149.201268;2023-12-01T03:00:00Z;28.2
-35.247591;149.201268;2023-12-01T06:00:00Z;25.6
-35.247591;149.201268;2023-12-01T09:00:00Z;17.8
-35.247591;149.201268;2023-12-01T12:00:00Z;14.3
-35.247591;149.201268;2023-12-01T15:00:00Z;14.2
-35.247591;149.201268;2023-12-01T18:00:00Z;13.8
-35.247591;149.201268;2023-12-01T21:00:00Z;17.6
-35.247591;149.201268;2023-12-02T00:00:00Z;26.0
-35.247591;149.201268;2023-12-02T03:00:00Z;28.8
-35.247591;149.201268;2023-12-02T06:00:00Z;24.3
-35.247591;149.201268;2023-12-02T09:00:00Z;18.0
-35.247591;149.201268;2023-12-02T12:00:00Z;14.0
-35.247591;149.201268;2023-12-02T15:00:00Z;11.1
-35.247591;149.201268;2023-12-02T18:00:00Z;10.2
-35.247591;149.201268;2023-12-02T21:00:00Z;14.2
-35.247591;149.201268;2023-12-03T00:00:00Z;25.2
-35.247591;149.201268;2023-12-03T03:00:00Z;27.4
-35.247591;149.201268;2023-12-03T06:00:00Z;23.2
-35.247591;149.201268;2023-12-03T09:00:00Z;15.8
-35.247591;149.201268;2023-12-03T12:00:00Z;11.8
-35.247591;149.201268;2023-12-03T15:00:00Z;11.2
-35.247591;149.201268;2023-12-03T18:00:00Z;11.2
-35.247591;149.201268;2023-12-03T21:00:00Z;16.2
-35.247591;149.201268;2023-12-04T00:00:00Z;25.2
-35.247591;149.201268;2023-12-04T03:00:00Z;30.0
-35.247591;149.201268;2023-12-04T06:00:00Z;26.2
-35.247591;149.201268;2023-12-04T09:00:00Z;19.7
-35.247591;149.201268;2023-12-04T12:00:00Z;15.9
-35.247591;149.201268;2023-12-04T15:00:00Z;13.5
-35.247591;149.201268;2023-12-04T18:00:00Z;13.8
-35.247591;149.201268;2023-12-04T21:00:00Z;19.9
-35.247591;149.201268;2023-12-05T00:00:00Z;30.8
-35.247591;149.201268;2023-12-05T03:00:00Z;35.9
-35.247591;149.201268;2023-12-05T06:00:00Z;32.7
-35.247591;149.201268;2023-12-05T09:00:00Z;23.2
-35.247591;149.201268;2023-12-05T12:00:00Z;18.6
-35.247591;149.201268;2023-12-05T15:00:00Z;18.2
-35.247591;149.201268;2023-12-05T18:00:00Z;16.1
-35.247591;149.201268;2023-12-05T21:00:00Z;20.8
-35.247591;149.201268;2023-12-06T00:00:00Z;32.7
-35.247591;149.201268;2023-12-06T03:00:00Z;35.1
-35.247591;149.201268;2023-12-06T06:00:00Z;31.0
-35.247591;149.201268;2023-12-06T09:00:00Z;20.9
-35.247591;149.201268;2023-12-06T12:00:00Z;15.8
-35.247591;149.201268;2023-12-06T15:00:00Z;14.0
-35.247591;149.201268;2023-12-06T18:00:00Z;14.0
-35.247591;149.201268;2023-12-06T21:00:00Z;19.4
-35.247591;149.201268;2023-12-07T00:00:00Z;30.6
-35.247591;149.201268;2023-12-07T03:00:00Z;31.3
-35.247591;149.201268;2023-12-07T06:00:00Z;26.3
-35.247591;149.201268;2023-12-07T09:00:00Z;21.8
-35.247591;149.201268;2023-12-07T12:00:00Z;18.7
-35.247591;149.201268;2023-12-07T15:00:00Z;18.5
-35.247591;149.201268;2023-12-07T18:00:00Z;17.1
-35.247591;149.201268;2023-12-07T21:00:00Z;23.2
-35.247591;149.201268;2023-12-08T00:00:00Z;33.0
-35.247591;149.201268;2023-12-08T03:00:00Z;34.9
-35.247591;149.201268;2023-12-08T06:00:00Z;32.5
-35.247591;149.201268;2023-12-08T09:00:00Z;26.0
-35.247591;149.201268;2023-12-08T12:00:00Z;21.7
-35.247591;149.201268;2023-12-08T15:00:00Z;20.6
-35.247591;149.201268;2023-12-08T18:00:00Z;20.6
-35.247591;149.201268;2023-12-08T21:00:00Z;26.5
-35.247591;149.201268;2023-12-09T00:00:00Z;35.5
-35.247591;149.201268;2023-12-09T03:00:00Z;39.3
-35.247591;149.201268;2023-12-09T06:00:00Z;35.6
-35.247591;149.201268;2023-12-09T09:00:00Z;28.1
-35.247591;149.201268;2023-12-09T12:00:00Z;18.5
-35.247591;149.201268;2023-12-09T15:00:00Z;16.3
-35.247591;149.201268;2023-12-09T18:00:00Z;15.5
-35.247591;149.201268;2023-12-09T21:00:00Z;18.0
-35.247591;149.201268;2023-12-10T00:00:00Z;25.5
-35.197591;149.001268;2023-11-30T00:00:00Z;22.0
-35.197591;149.001268;2023-11-30T03:00:00Z;21.8
-35.197591;149.001268;2023-11-30T06:00:00Z;23.2
-35.197591;149.001268;2023-11-30T09:00:00Z;20.2
-35.197591;149.001268;2023-11-30T12:00:00Z;15.7
-35.197591;149.001268;2023-11-30T15:00:00Z;15.9
-35.197591;149.001268;2023-11-30T18:00:00Z;15.3
-35.197591;149.001268;2023-11-30T21:00:00Z;19.6
-35.197591;149.001268;2023-12-01T00:00:00Z;27.3
-35.197591;149.001268;2023-12-01T03:00:00Z;26.5
-35.197591;149.001268;2023-12-01T06:00:00Z;26.4
-35.197591;149.001268;2023-12-01T09:00:00Z;20.5
-35.197591;149.001268;2023-12-01T12:00:00Z;15.7
-35.197591;149.001268;2023-12-01T15:00:00Z;14.7
-35.197591;149.001268;2023-12-01T18:00:00Z;14.5
-35.197591;149.001268;2023-12-01T21:00:00Z;18.9
-35.197591;149.001268;2023-12-02T00:00:00Z;27.9
-35.197591;149.001268;2023-12-02T03:00:00Z;30.1
-35.197591;149.001268;2023-12-02T06:00:00Z;24.4
-35.197591;149.001268;2023-12-02T09:00:00Z;18.8
-35.197591;149.001268;2023-12-02T12:00:00Z;14.1
-35.197591;149.001268;2023-12-02T15:00:00Z;11.4
-35.197591;149.001268;2023-12-02T18:00:00Z;10.5
-35.197591;149.001268;2023-12-02T21:00:00Z;14.4
-35.197591;149.001268;2023-12-03T00:00:00Z;26.7
-35.197591;149.001268;2023-12-03T03:00:00Z;28.9
-35.197591;149.001268;2023-12-03T06:00:00Z;24.7
-35.197591;149.001268;2023-12-03T09:00:00Z;16.6
-35.197591;149.001268;2023-12-03T12:00:00Z;12.8
-35.197591;149.001268;2023-12-03T15:00:00Z;12.3
-35.197591;149.001268;2023-12-03T18:00:00Z;11.9
-35.197591;149.001268;2023-12-03T21:00:00Z;16.9
-35.197591;149.001268;2023-12-04T00:00:00Z;26.9
-35.197591;149.001268;2023-12-04T03:00:00Z;30.3
-35.197591;149.001268;2023-12-04T06:00:00Z;27.6
-35.197591;149.001268;2023-12-04T09:00:00Z;21.4
-35.197591;149.001268;2023-12-04T12:00:00Z;16.0
-35.197591;149.001268;2023-12-04T15:00:00Z;14.8
-35.197591;149.001268;2023-12-04T18:00:00Z;12.8
-35.197591;149.001268;2023-12-04T21:00:00Z;19.9
-35.197591;149.001268;2023-12-05T00:00:00Z;31.7
-35.197591;149.001268;2023-12-05T03:00:00Z;37.0
-35.197591;149.001268;2023-12-05T06:00:00Z;33.9
-35.197591;149.001268;2023-12-05T09:00:00Z;24.7
-35.197591;149.001268;2023-12-05T12:00:00Z;19.2
-35.197591;149.001268;2023-12-05T15:00:00Z;17.8
-35.197591;149.001268;2023-12-05T18:00:00Z;14.8
-35.197591;149.001268;2023-12-05T21:00:00Z;22.1
-35.197591;149.001268;2023-12-06T00:00:00Z;33.4
-35.197591;149.001268;2023-12-06T03:00:00Z;36.4
-35.197591;149.001268;2023-12-06T06:00:00Z;31.8
-35.197591;149.001268;2023-12-06T09:00:00Z;22.6
-35.197591;149.001268;2023-12-06T12:00:00Z;17.7
-35.197591;149.001268;2023-12-06T15:00:00Z;14.8
-35.197591;149.001268;2023-12-06T18:00:00Z;13.8
-35.197591;149.001268;2023-12-06T21:00:00Z;19.4
-35.197591;149.001268;2023-12-07T00:00:00Z;31.1
-35.197591;149.001268;2023-12-07T03:00:00Z;33.1
-35.197591;149.001268;2023-12-07T06:00:00Z;27.6
-35.197591;149.001268;2023-12-07T09:00:00Z;22.9
-35.197591;149.001268;2023-12-07T12:00:00Z;19.2
-35.197591;149.001268;2023-12-07T15:00:00Z;19.2
-35.197591;149.001268;2023-12-07T18:00:00Z;18.1
-35.197591;149.001268;2023-12-07T21:00:00Z;24.4
-35.197591;149.001268;2023-12-08T00:00:00Z;34.1
-35.197591;149.001268;2023-12-08T03:00:00Z;35.3
-35.197591;149.001268;2023-12-08T06:00:00Z;33.9
-35.197591;149.001268;2023-12-08T09:00:00Z;27.2
-35.197591;149.001268;2023-12-08T12:00:00Z;22.4
-35.197591;149.001268;2023-12-08T15:00:00Z;21.6
-35.197591;149.001268;2023-12-08T18:00:00Z;21.6
-35.197591;149.001268;2023-12-08T21:00:00Z;27.5
-35.197591;149.001268;2023-12-09T00:00:00Z;36.4
-35.197591;149.001268;2023-12-09T03:00:00Z;40.9
-35.197591;149.001268;2023-12-09T06:00:00Z;36.8
-35.197591;149.001268;2023-12-09T09:00:00Z;27.8
-35.197591;149.001268;2023-12-09T12:00:00Z;20.0
-35.197591;149.001268;2023-12-09T15:00:00Z;17.5
-35.197591;149.001268;2023-12-09T18:00:00Z;16.3
-35.197591;149.001268;2023-12-09T21:00:00Z;19.2
-35.197591;149.001268;2023-12-10T00:00:00Z;27.2
-35.197591;149.051268;2023-11-30T00:00:00Z;21.5
-35.197591;149.051268;2023-11-30T03:00:00Z;21.2
-35.197591;149.051268;2023-11-30T06:00:00Z;22.6
-35.197591;149.051268;2023-11-30T09:00:00Z;18.6
-35.197591;149.051268;2023-11-30T12:00:00Z;14.6
-35.197591;149.051268;2023-11-30T15:00:00Z;14.9
-35.197591;149.051268;2023-11-30T18:00:00Z;14.5
-35.197591;149.051268;2023-11-30T21:00:00Z;18.6
-35.197591;149.051268;2023-12-01T00:00:00Z;26.6
-35.197591;149.051268;2023-12-01T03:00:00Z;26.9
-35.197591;149.051268;2023-12-01T06:00:00Z;25.7
-35.197591;149.051268;2023-12-01T09:00:00Z;19.1
-35.197591;149.051268;2023-12-01T12:00:00Z;14.5
-35.197591;149.051268;2023-12-01T15:00:00Z;14.0
-35.197591;149.051268;2023-12-01T18:00:00Z;13.6
-35.197591;149.051268;2023-12-01T21:00:00Z;18.1
-35.197591;149.051268;2023-12-02T00:00:00Z;27.0
-35.197591;149.051268;2023-12-02T03:00:00Z;29.4
-35.197591;149.051268;2023-12-02T06:00:00Z;23.8
-35.197591;149.051268;2023-12-02T09:00:00Z;17.8
-35.197591;149.051268;2023-12-02T12:00:00Z;13.3
-35.197591;149.051268;2023-12-02T15:00:00Z;11.6
-35.197591;149.051268;2023-12-02T18:00:00Z;10.4
-35.197591;149.051268;2023-12-02T21:00:00Z;13.8
-35.197591;149.051268;2023-12-03T00:00:00Z;25.7
-35.197591;149.051268;2023-12-03T03:00:00Z;27.8
-35.197591;149.051268;2023-12-03T06:00:00Z;23.8
-35.197591;149.051268;2023-12-03T09:00:00Z;15.8
-35.197591;149.051268;2023-12-03T12:00:00Z;12.0
-35.197591;149.051268;2023-12-03T15:00:00Z;11.3
-35.197591;149.051268;2023-12-03T18:00:00Z;10.9
-35.197591;149.051268;2023-12-03T21:00:00Z;16.0
-35.197591;149.051268;2023-12-04T00:00:00Z;25.9
-35.197591;149.051268;2023-12-04T03:00:00Z;29.7
-35.197591;149.051268;2023-12-04T06:00:00Z;26.4
-35.197591;149.051268;2023-12-04T09:00:00Z;19.9
-35.197591;149.051268;2023-12-04T12:00:00Z;15.4
-35.197591;149.051268;2023-12-04T15:00:00Z;14.1
-35.197591;149.051268;2023-12-04T18:00:00Z;14.0
-35.197591;149.051268;2023-12-04T21:00:00Z;19.8
-35.197591;149.051268;2023-12-05T00:00:00Z;30.6
-35.197591;149.051268;2023-12-05T03:00:00Z;35.8
-35.197591;149.051268;2023-12-05T06:00:00Z;32.8
-35.197591;149.051268;2023-12-05T09:00:00Z;22.9
-35.197591;149.051268;2023-12-05T12:00:00Z;17.4
-35.197591;149.051268;2023-12-05T15:00:00Z;16.0
-35.197591;149.051268;2023-12-05T18:00:00Z;14.6
-35.197591;149.051268;2023-12-05T21:00:00Z;21.1
-35.197591;149.051268;2023-12-06T00:00:00Z;32.4
-35.197591;149.051268;2023-12-06T03:00:00Z;35.1
-35.197591;149.051268;2023-12-06T06:00:00Z;30.8
-35.197591;149.051268;2023-12-06T09:00:00Z;21.2
-35.197591;149.051268;2023-12-06T12:00:00Z;16.8
-35.197591;149.051268;2023-12-06T15:00:00Z;14.7
-35.197591;149.051268;2023-12-06T18:00:00Z;14.5
-35.197591;149.051268;2023-12-06T21:00:00Z;19.1
-35.197591;149.051268;2023-12-07T00:00:00Z;30.2
-35.197591;149.051268;2023-12-07T03:00:00Z;31.8
-35.197591;149.051268;2023-12-07T06:00:00Z;26.5
-35.197591;149.051268;2023-12-07T09:00:00Z;21.8
-35.197591;149.051268;2023-12-07T12:00:00Z;18.4
-35.197591;149.051268;2023-12-07T15:00:00Z;18.8
-35.197591;149.051268;2023-12-07T18:00:00Z;17.2
-35.197591;149.051268;2023-12-07T21:00:00Z;23.0
-35.197591;149.051268;2023-12-08T00:00:00Z;33.1
-35.197591;149.051268;2023-12-08T03:00:00Z;34.5
-35.197591;149.051268;2023-12-08T06:00:00Z;32.9
-35.197591;149.051268;2023-12-08T09:00:00Z;25.8
-35.197591;149.051268;2023-12-08T12:00:00Z;21.1
-35.197591;149.051268;2023-12-08T15:00:00Z;20.5
-35.197591;149.051268;2023-12-08T18:00:00Z;20.1
-35.197591;149.051268;2023-12-08T21:00:00Z;26.0
-35.197591;149.051268;2023-12-09T00:00:00Z;35.5
-35.197591;149.051268;2023-12-09T03:00:00Z;39.8
-35.197591;149.051268;2023-12-09T06:00:00Z;35.7
-35.197591;149.051268;2023-12-09T09:00:00Z;27.6
-35.197591;149.051268;2023-12-09T12:00:00Z;19.0
-35.197591;149.051268;2023-12-09T15:00:00Z;16.6
-35.197591;149.051268;2023-12-09T18:00:00Z;15.5
-35.197591;149.051268;2023-12-09T21:00:00Z;18.2
-35.197591;149.051268;2023-12-10T00:00:00Z;26.1
-35.197591;149.101268;2023-11-30T00:00:00Z;22.1
-35.197591;149.101268;2023-11-30T03:00:00Z;21.7
-35.197591;149.101268;2023-11-30T06:00:00Z;22.9
-35.197591;149.101268;2023-11-30T09:00:00Z;19.0
-35.197591;149.101268;2023-11-30T12:00:00Z;15.6
-35.197591;149.101268;2023-11-30T15:00:00Z;15.6
-35.197591;149.101268;2023-11-30T18:00:00Z;15.3
-35.197591;149.101268;2023-11-30T21:00:00Z;19.3
-35.197591;149.101268;2023-12-01T00:00:00Z;26.5
-35.197591;149.101268;2023-12-01T03:00:00Z;28.2
-35.197591;149.101268;2023-12-01T06:00:00Z;26.0
-35.197591;149.101268;2023-12-01T09:00:00Z;19.3
-35.197591;149.101268;2023-12-01T12:00:00Z;15.2
-35.197591;149.101268;2023-12-01T15:00:00Z;14.9
-35.197591;149.101268;2023-12-01T18:00:00Z;14.4
-35.197591;149.101268;2023-12-01T21:00:00Z;18.5
-35.197591;149.101268;2023-12-02T00:00:00Z;27.3
-35.197591;149.101268;2023-12-02T03:00:00Z;29.8
-35.197591;149.101268;2023-12-02T06:00:00Z;24.5
-35.197591;149.101268;2023-12-02T09:00:00Z;18.5
-35.197591;149.101268;2023-12-02T12:00:00Z;14.4
-35.197591;149.101268;2023-12-02T15:00:00Z;13.3
-35.197591;149.101268;2023-12-02T18:00:00Z;11.7
-35.197591;149.101268;2023-12-02T21:00:00Z;14.0
-35.197591;149.101268;2023-12-03T00:00:00Z;26.0
-35.197591;149.101268;2023-12-03T03:00:00Z;28.1
-35.197591;149.101268;2023-12-03T06:00:00Z;24.2
-35.197591;149.101268;2023-12-03T09:00:00Z;16.7
-35.197591;149.101268;2023-12-03T12:00:00Z;12.5
-35.197591;149.101268;2023-12-03T15:00:00Z;11.8
-35.197591;149.101268;2023-12-03T18:00:00Z;11.5
-35.197591;149.101268;2023-12-03T21:00:00Z;16.7
-35.197591;149.101268;2023-12-04T00:00:00Z;26.2
-35.197591;149.101268;2023-12-04T03:00:00Z;30.7
-35.197591;149.101268;2023-12-04T06:00:00Z;26.8
-35.197591;149.101268;2023-12-04T09:00:00Z;20.6
-35.197591;149.101268;2023-12-04T12:00:00Z;16.7
-35.197591;149.101268;2023-12-04T15:00:00Z;14.1
-35.197591;149.101268;2023-12-04T18:00:00Z;15.4
-35.197591;149.101268;2023-12-04T21:00:00Z;19.9
-35.197591;149.101268;2023-12-05T00:00:00Z;31.1
-35.197591;149.101268;2023-12-05T03:00:00Z;36.4
-35.197591;149.101268;2023-12-05T06:00:00Z;33.4
-35.197591;149.101268;2023-12-05T09:00:00Z;24.3
-35.197591;149.101268;2023-12-05T12:00:00Z;19.8
-35.197591;149.101268;2023-12-05T15:00:00Z;18.5
-35.197591;149.101268;2023-12-05T18:00:00Z;16.4
-35.197591;149.101268;2023-12-05T21:00:00Z;21.7
-35.197591;149.101268;2023-12-06T00:00:00Z;33.1
-35.197591;149.101268;2023-12-06T03:00:00Z;35.7
-35.197591;149.101268;2023-12-06T06:00:00Z;31.6
-35.197591;149.101268;2023-12-06T09:00:00Z;22.3
-35.197591;149.101268;2023-12-06T12:00:00Z;17.1
-35.197591;149.101268;2023-12-06T15:00:00Z;14.9
-35.197591;149.101268;2023-12-06T18:00:00Z;15.5
-35.197591;149.101268;2023-12-06T21:00:00Z;19.0
-35.197591;149.101268;2023-12-07T00:00:00Z;31.1
-35.197591;149.101268;2023-12-07T03:00:00Z;32.1
-35.197591;149.101268;2023-12-07T06:00:00Z;27.1
-35.197591;149.101268;2023-12-07T09:00:00Z;22.7
-35.197591;149.101268;2023-12-07T12:00:00Z;19.3
-35.197591;149.101268;2023-12-07T15:00:00Z;19.8
-35.197591;149.101268;2023-12-07T18:00:00Z;17.8
-35.197591;149.101268;2023-12-07T21:00:00Z;23.6
-35.197591;149.101268;2023-12-08T00:00:00Z;33.7
-35.197591;149.101268;2023-12-08T03:00:00Z;35.3
-35.197591;149.101268;2023-12-08T06:00:00Z;33.4
-35.197591;149.101268;2023-12-08T09:00:00Z;26.8
-35.197591;149.101268;2023-12-08T12:00:00Z;22.4
-35.197591;149.101268;2023-12-08T15:00:00Z;21.5
-35.197591;149.101268;2023-12-08T18:00:00Z;21.4
-35.197591;149.101268;2023-12-08T21:00:00Z;27.1
-35.197591;149.101268;2023-12-09T00:00:00Z;36.0
-35.197591;149.101268;2023-12-09T03:00:00Z;40.3
-35.197591;149.101268;2023-12-09T06:00:00Z;36.3
-35.197591;149.101268;2023-12-09T09:00:00Z;29.8
-35.197591;149.101268;2023-12-09T12:00:00Z;19.4
-35.197591;149.101268;2023-12-09T15:00:00Z;17.1
